"run","tick","Harmony","EquilibriumTime"
1,1.0,0.0,1.0
1,2.0,0.0,2.0
1,3.0,0.0,3.0
1,4.0,0.0,4.0
1,5.0,0.0,5.0
1,6.0,0.0,6.0
1,7.0,0.0,7.0
1,8.0,0.0,8.0
1,9.0,0.0,9.0
1,10.0,0.0,10.0
1,11.0,0.0,11.0
1,12.0,0.0,12.0
1,13.0,0.0,13.0
1,14.0,0.0,14.0
1,15.0,0.0,15.0
1,16.0,0.0,16.0
1,17.0,0.0,17.0
1,18.0,0.0,18.0
1,19.0,0.0,19.0
1,20.0,0.0,20.0
1,21.0,0.0,21.0
1,22.0,0.0,22.0
1,23.0,0.0,23.0
1,24.0,0.0,24.0
1,25.0,0.0,25.0
1,26.0,0.0,26.0
1,27.0,0.0,27.0
1,28.0,0.0,28.0
1,29.0,0.0,29.0
1,30.0,0.0,30.0
1,31.0,0.0,31.0
1,32.0,0.0,32.0
1,33.0,0.0,33.0
1,34.0,0.0,34.0
1,35.0,0.0,35.0
1,36.0,0.0,36.0
1,37.0,0.0,37.0
1,38.0,0.0,38.0
1,39.0,0.0,39.0
1,40.0,0.0,40.0
1,41.0,0.0,41.0
1,42.0,0.0,42.0
1,43.0,0.0,43.0
1,44.0,0.0,44.0
1,45.0,0.0,45.0
1,46.0,0.0,46.0
1,47.0,0.0,47.0
1,48.0,0.0,48.0
1,49.0,0.0,49.0
1,50.0,0.0,50.0
1,51.0,0.0,51.0
1,52.0,0.0,52.0
1,53.0,0.0,53.0
1,54.0,0.0,54.0
1,55.0,0.0,55.0
1,56.0,0.0,56.0
1,57.0,0.0,57.0
1,58.0,0.0,58.0
1,59.0,0.0,59.0
1,60.0,0.0,60.0
1,61.0,0.0,61.0
1,62.0,0.0,62.0
1,63.0,0.0,63.0
1,64.0,0.0,64.0
1,65.0,0.0,65.0
1,66.0,0.0,66.0
1,67.0,0.0,67.0
1,68.0,0.0,68.0
1,69.0,0.0,69.0
1,70.0,0.0,70.0
1,71.0,0.0,71.0
1,72.0,0.0,72.0
1,73.0,0.0,73.0
1,74.0,0.0,74.0
1,75.0,0.0,75.0
1,76.0,0.0,76.0
1,77.0,0.0,77.0
1,78.0,0.0,78.0
1,79.0,0.0,79.0
1,80.0,0.0,80.0
1,81.0,0.0,81.0
1,82.0,0.0,82.0
1,83.0,0.0,83.0
1,84.0,0.0,84.0
1,85.0,0.0,85.0
1,86.0,0.0,86.0
1,87.0,0.0,87.0
1,88.0,0.0,88.0
1,89.0,0.0,89.0
1,90.0,0.0,90.0
1,91.0,0.0,91.0
1,92.0,0.0,92.0
1,93.0,0.0,93.0
1,94.0,0.0,94.0
1,95.0,0.0,95.0
1,96.0,0.0,96.0
1,97.0,0.0,97.0
1,98.0,0.0,98.0
1,99.0,0.0,99.0
1,100.0,0.0,100.0
3,1.0,4.9900099937525E-6,-1.0
3,2.0,4.985026216284345E-6,-1.0
3,3.0,4.980049902659769E-6,-1.0
3,4.0,4.975081037980271E-6,-1.0
3,5.0,4.97011960738451E-6,-1.0
3,6.0,4.965165596048193E-6,-1.0
3,7.0,4.960218989183963E-6,-1.0
3,8.0,4.955279772041288E-6,-1.0
3,9.0,4.9503479299063544E-6,-1.0
3,10.0,4.9454234481019544E-6,-1.0
3,11.0,4.940506311987376E-6,-1.0
3,12.0,4.9355965069583005E-6,-1.0
3,13.0,4.930694018446681E-6,-1.0
3,14.0,4.925798831920653E-6,-1.0
3,15.0,4.920910932884405E-6,-1.0
3,16.0,4.9160303068780924E-6,-1.0
3,17.0,4.911156939477715E-6,-1.0
3,18.0,4.906290816295015E-6,-1.0
3,19.0,4.901431922977374E-6,19.0
3,20.0,4.896580245207705E-6,20.0
3,21.0,4.8917357687043454E-6,21.0
3,22.0,4.886898479220953E-6,22.0
3,23.0,4.8820683625464E-6,23.0
3,24.0,4.8772454045046745E-6,24.0
3,25.0,4.872429590954768E-6,25.0
3,26.0,4.867620907790575E-6,26.0
3,27.0,4.862819340940792E-6,27.0
3,28.0,4.858024876368812E-6,28.0
3,29.0,4.853237500072623E-6,29.0
3,30.0,4.848457198084704E-6,30.0
3,31.0,4.8436839564719275E-6,31.0
3,32.0,4.838917761335451E-6,32.0
3,33.0,4.834158598810623E-6,33.0
3,34.0,4.829406455066873E-6,34.0
3,35.0,4.824661316307626E-6,35.0
3,36.0,4.819923168770184E-6,36.0
3,37.0,4.815191998725637E-6,37.0
3,38.0,4.810467792478768E-6,38.0
3,39.0,4.805750536367943E-6,39.0
3,40.0,4.8010402167650135E-6,40.0
3,41.0,4.796336820075226E-6,41.0
3,42.0,4.791640332737116E-6,42.0
3,43.0,4.786950741222417E-6,43.0
3,44.0,4.782268032035957E-6,44.0
3,45.0,4.777592191715567E-6,45.0
3,46.0,4.772923206831975E-6,46.0
3,47.0,4.7682610639887175E-6,47.0
3,48.0,4.763605749822043E-6,48.0
3,49.0,4.758957251000817E-6,49.0
3,50.0,4.7543155542264185E-6,50.0
3,51.0,4.749680646232653E-6,51.0
3,52.0,4.745052513785656E-6,52.0
3,53.0,4.740431143683797E-6,53.0
3,54.0,4.735816522757586E-6,54.0
3,55.0,4.731208637869578E-6,55.0
3,56.0,4.726607475914283E-6,56.0
3,57.0,4.722013023818072E-6,57.0
3,58.0,4.717425268539078E-6,58.0
3,59.0,4.712844197067111E-6,59.0
3,60.0,4.708269796423566E-6,60.0
3,61.0,4.703702053661323E-6,61.0
3,62.0,4.699140955864664E-6,62.0
3,63.0,4.694586490149176E-6,63.0
3,64.0,4.690038643661664E-6,64.0
3,65.0,4.685497403580055E-6,65.0
3,66.0,4.680962757113317E-6,66.0
3,67.0,4.6764346915013575E-6,67.0
3,68.0,4.6719131940149394E-6,68.0
3,69.0,4.667398251955594E-6,69.0
3,70.0,4.6628898526555255E-6,70.0
3,71.0,4.658387983477528E-6,71.0
3,72.0,4.653892631814894E-6,72.0
3,73.0,4.649403785091326E-6,73.0
3,74.0,4.644921430760849E-6,74.0
3,75.0,4.640445556307724E-6,75.0
3,76.0,4.635976149246357E-6,76.0
3,77.0,4.63151319712122E-6,77.0
3,78.0,4.627056687506749E-6,78.0
3,79.0,4.622606608007277E-6,79.0
3,80.0,4.618162946256931E-6,80.0
3,81.0,4.613725689919557E-6,81.0
3,82.0,4.609294826688626E-6,82.0
3,83.0,4.604870344287157E-6,83.0
3,84.0,4.600452230467626E-6,84.0
3,85.0,4.596040473011884E-6,85.0
3,86.0,4.591635059731068E-6,86.0
3,87.0,4.587235978465526E-6,87.0
3,88.0,4.582843217084722E-6,88.0
3,89.0,4.578456763487159E-6,89.0
3,90.0,4.574076605600295E-6,90.0
3,91.0,4.5697027313804596E-6,91.0
3,92.0,4.565335128812772E-6,92.0
3,93.0,4.5609737859110535E-6,93.0
3,94.0,4.5566186907177515E-6,94.0
3,95.0,4.552269831303855E-6,95.0
3,96.0,4.547927195768814E-6,96.0
3,97.0,4.543590772240452E-6,97.0
3,98.0,4.539260548874892E-6,98.0
3,99.0,4.534936513856479E-6,99.0
3,100.0,4.530618655397684E-6,100.0
5,1.0,1.0747607481294177E-4,-1.0
5,2.0,2.0473462078106792E-4,-1.0
5,3.0,3.497918788184897E-4,-1.0
5,4.0,5.435035036763104E-4,-1.0
5,5.0,7.878133822929638E-4,-1.0
5,6.0,0.0010905655878226963,-1.0
5,7.0,0.001468871650582923,-1.0
5,8.0,0.001952627697424331,-1.0
5,9.0,0.0025888780857754165,-1.0
5,10.0,0.0034477524418600547,-1.0
5,11.0,0.0046300044542286626,-1.0
5,12.0,0.006275851729696875,-1.0
5,13.0,0.008574095725448955,-1.0
5,14.0,0.011769375140325904,-1.0
5,15.0,0.016163905740211322,-1.0
5,16.0,0.02210851874954447,-1.0
5,17.0,0.029977054774862767,-1.0
5,18.0,0.04011955430496238,-1.0
5,19.0,0.052794658300949704,-1.0
5,20.0,0.06809057443633873,-1.0
5,21.0,0.08585458712805026,-1.0
5,22.0,0.10565775409406056,-1.0
5,23.0,0.12681734150749915,-1.0
5,24.0,0.14848207736254612,-1.0
5,25.0,0.16976071082804614,-1.0
5,26.0,0.1898560345689901,-1.0
5,27.0,0.20816566622207913,-1.0
5,28.0,0.2243274479086536,-1.0
5,29.0,0.23821031501045087,-1.0
5,30.0,0.2498682202849944,-1.0
5,31.0,0.2594795034894668,-1.0
5,32.0,0.26728942520008,-1.0
5,33.0,0.27356533797453547,-1.0
5,34.0,0.2785668158879294,-1.0
5,35.0,0.2825288271991673,-1.0
